,Year,Sampling_Unit_Name,Longitude,Latitude,Cabassous tatouay,Canis familiaris,Cerdocyon thous,Cuniculus paca,Dasyprocta azarae,Dasypus ,Dasypus novemcinctus,Didelphis ,Didelphis albiventris,Didelphis aurita,Eira barbara,Equus ,Galictis cuja,Herpailurus yagouaroundi,Leopardus ,Leopardus guttulus,Leopardus pardalis,Leopardus wiedii,Lepus europaeus,Mazama ,Mazama gouazoubira,Mazama jucunda,Myrmecophaga tridactyla,Nasua nasua,Panthera onca,Pecari tajacu,Procyon cancrivorus,Puma concolor,Speothos venaticus,Sus scrofa,Tamandua tetradactyla,Tapirus terrestris,Tayassu pecari
97,2021,154,-48.435969,-25.106311,0,0,0,0,0,0,0,0,3,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,,
98,2021,167,-48.27481,-24.303555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,2,1,3,0,2,4,2,0,0,30,0,,
99,2021,181,-47.92605,-25.081012,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,,
100,2021,219,-48.31906,-24.593263,0,0,0,0,0,2,5,10,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,,
101,2021,220,-48.784558,-24.581263,0,0,0,0,0,0,0,0,10,4,0,0,0,3,0,0,0,0,0,2,0,1,0,0,6,0,0,0,0,0,0,,
102,2021,224,-48.690215,-25.1757,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,3,0,0,0,0,2,0,,
103,2021,227,-47.485822,-24.018607,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,,
104,2021,247,-48.633584,-24.818962,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,,
105,2021,249,-47.81007,-24.019008,0,0,0,10,4,0,0,0,2,3,0,0,0,1,3,2,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,,
106,2021,263,-48.91223,-25.72075,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,
107,2021,285,-48.745412,-24.462975,0,0,0,6,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
108,2021,305,-48.266823,-24.980218,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,16,0,,
109,2021,323,-48.676905,-24.45417,0,0,0,5,0,0,0,0,43,6,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
110,2021,324,-48.30307,-25.14687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,
111,2021,344,-48.85269,-25.75112,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
112,2021,345,-48.6773,-24.840841,0,0,0,0,0,0,0,0,2,0,0,0,3,1,12,0,0,0,1,4,0,0,1,0,0,3,0,0,0,18,0,,
113,2021,358,-48.0943,-25.1106,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,,
114,2021,374,-48.3249,-25.1819,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,,
115,2021,391,-48.646132,-25.125012,0,11,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,,
116,2021,402,-48.276468,-24.170713,0,0,0,1,0,0,0,4,6,2,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,
117,2021,408,-48.608059,-25.11284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,2,15,0,,
118,2021,422,-48.419378,-25.150976,0,0,0,2,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
119,2021,425,-47.591339,-24.032991,0,0,0,2,0,1,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,,
120,2021,441,-48.636505,-25.277798,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
121,2021,463,-48.584025,-24.436772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,0,0,0,,
122,2021,486,"-47,989,609",-24.94453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,
123,2021,501,-47.451708,-24.021527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,,
124,2021,510,-47.59488,-24.28398,3,0,0,1,10,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,,
